identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0006103792;FRANCE DECORS S.A.;44228036800014;Z.I.RECLAINE;69240;THIZY;RHONE;AUVERGNE-RHONE-ALPES;801336.000000;6549821.000000;2154;3101Z;Fabrication de meubles de bureau et de magasin;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0005102122;SUEZ ENVIRONNEMENT;30052118400014;Lieu dit le Bucheron;80620;DOMQUEUR;SOMME;HAUTS-DE-FRANCE;630379.000000;7000585.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
0010001674;SANOFI WINTHROP INDUSTRIE;77566225700176;196 rue du Maréchal Juin, ZI;45200;AMILLY;LOIRET;CENTRE;683318.000000;6763625.000000;2154;2120Z;Fabrication de préparations pharmaceutiques;4.(e);Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
0007002666;JEAN STALAVEN SAS;34793702100017;Avenue de la Gironde, ZI de Petite Synthe;59640;DUNKERQUE;NORD;HAUTS-DE-FRANCE;653543.000000;7101178.000000;2154;1085Z;Fabrication de plats préparés;;
0006301168;SAUNIER DUVAL;40318434400014;17 rue de la Petite Baratte, BP 41535;44300;NANTES;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;358084.000000;6693150.000000;2154;2521Z;Fabrication de radiateurs et de chaudières pour le chauffage central;;
0007000570;MOTTEZ;30332115200017;ZA des Acquêts, Rue des frères Mahieu;59193;ERQUINGHEM-LYS;NORD;HAUTS-DE-FRANCE;689830.000000;7064965.000000;4326;2599B;Fabrication d'autres articles métalliques;;
0006300337;PIGEON GRANULATS LOIRE ANJOU - Nyoiseau;38418359600079;Le Bois Savary, Nyoiseau;49500;SEGRE;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;408317.000000;6741514.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;3.(b);Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
0005600153;VITTEL RECUPERATION SARL;44821744800019;La Tourette;15260;NEUVEGLISE;CANTAL;AUVERGNE-RHONE-ALPES;698457.000000;6425390.000000;2154;3832Z;Récupération de déchets triés;;
0006811347;COMMUNAUTE DE COMMUNES PAYS SEGALI;20006883100011;La Vialette, AC n° 91 - 113 - 114 - 116 et 159;12800;CAMJAC;AVEYRON;OCCITANIE;654200.000000;6345069.000000;2154;3811Z;Collecte des déchets non dangereux;;
0006811378;SYDED DU LOT;25460139600016;La Rigounenque, Parcelle n° 466 - section AZ;46260;LIMOGNE-EN-QUERCY;LOT;OCCITANIE;601778.000000;6368343.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0005103811;ESIANE;44311842700022;Avenue Frédéric et Irène Joliot Curie;60870;VILLERS-SAINT-PAUL;OISE;HAUTS-DE-FRANCE;663555.000000;6908990.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0006108628;BOIRON FRERES;54201576300049;Rue Brillat Savarin, Parc d'activités du 45ème parallèle;26300;CHATEAUNEUF-SUR-ISERE;DROME;AUVERGNE-RHONE-ALPES;856195.000000;6435151.000000;2154;1039B;Transformation et conservation de fruits;;
0006700425;Trelleborg Coated Systems France SAS;94545114400022;RUE DE L INDUSTRIE, BP 70;68700;CERNAY;HAUT-RHIN;GRAND-EST;1014253.000000;6752890.000000;2154;4669B;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers;9.(c);Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an
0006114810;SMTP  SAS;30819624500010;lieu-dit Les Vergers;74800;ARENTHON;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES;959015.000000;6560077.000000;2154;4221Z;Construction de réseaux pour fluides;;
0007000854;BALL PACKAGING EUROPE BIERNE SAS;34951600500015;Zone d'Entreprise de Bergues, BP 59;59380;BIERNE;NORD;HAUTS-DE-FRANCE;658952.000000;7095531.000000;2154;2592Z;Fabrication d'emballages métalliques légers;9.(c);Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an
0007001248;ENVELNOR-PACKAGING;41924054400033;ZA de Mussent, CLARQUES;62120;REBECQUES;PAS-DE-CALAIS;HAUTS-DE-FRANCE;647653.000000;7063371.000000;2154;1723Z;Fabrication d'articles de papeterie;;
0005504473;GDE BRETAGNE (GUY DAUPHIN ENVIRONNEMENT);65382053000018;21 rue de Bray;35510;CESSON-SEVIGNE;ILLE-ET-VILAINE;BRETAGNE;356484.000000;6788646.000000;2154;3832Z;Récupération de déchets triés;;
