identifiant;nom_etablissement;annee_rejet;rejet_raccorde_m3_par_an;rejet_isole_m3_par_an
0006202598;SOCIETE FROMAGERE DE XERTIGNY;2020;;121526
0010400051;HEXCEL REINFORCEMENTS;2020;1623;0
0010400095;KNAUF INDUSTRIE EST;2020;21516;
0057100395;PRODIA BRESSE;2020;15436;0
0010000458;THERMOCOLOR  CENTRE;2020;3357;1087
0006306563;COLART LE MANS SA;2020;21612;
0007001703;MAREE (SAS JP)-(ex l'Espadon);2020;2622;
0005800419;CONNECTEURS ELECTRIQUES DEUTSCH;2020;744;
0006103259;SDSP;2020;;9831
0005507274;MAKFROID 2 (Terre plein Sud);2020;8764;0
0006110531;KEOLIS LYON (Poudrette);2020;617;
0006501747;UNIVAR;2020;3540;
0005600377;SAIPOL;2020;26614;
0007001023;ENERGIE GRAND LITTORAL;2020;0;
0006700763;CORPLEX France Kaysersberg;2020;80032;
0006800581;CEMEX GRANULATS SUD OUEST;2020;;0
0006301288;FROMAGERIES PERREAULT;2020;;164716
0053502274;CHARCUTERIES CUISINEES DE PLELAN;2020;24721;
0006701094;STANDART SAS;2020;167218;
0006700656;VELCOREX since 1828;2020;;129757
0005206066;DRAGAGES PONT DE LESCAR S.A.;2020;0;0
0006301264;FLEURY MICHON LS;2020;50915;
0006517025;MAJ;2020;37430;
0006303376;REINAL SARL;2020;;14224
0057201663;LDC;2020;338673;
0005301493;COMPAGNIE DES FROMAGES & RICHESMONTS SCA;2020;;318640
0005702175;Ghisetti 1870 France;2020;;48396
0006500345;BEISSIER;2020;848;
0007001304;ARJOWIGGINS Papiers Couchés SA;2020;;1372792
0010000653;CHEMINEAU LABORATOIRES;2020;26517;1
0007000538;SARL FONDOIR DE SUIFS BUCHEZ;2020;;19583
0005100466;INTERSNACK FRANCE ex-VICO SA;2020;;437401
0053800603;CANDIA/YOPLAIT;2020;946761;
0005200074;BERKEM SAS;2020;;33287
0005104640;LACTINOV (EX UNILEP);2020;;181648
0007000890;SALAISONS DU DOUESY;2020;15183;
0053100349;REGIE MUNICIPALE ABATTOIR DE ST GAUDENS;2020;42003;
0006701598;KNAUF INDUSTRIES Est Rhinau;2020;6176;
0006304271;TRIVALIS;2020;;16806
0005801173;OMNOVA Solutions;2020;;357947
0007001117;BASF Agri-Production;2020;0;
0005801105;ORIL INDUSTRIE;2020;;56704
0006107131;NICOLLIN SAS;2020;40493;
0005701463;REMOISE DE VALORISATION DES DECHET.;2020;78;44813
0028300059;SAS NORD ESTER;2020;;85814
0010100080;ALLARD EMBALLAGES;2020;3080;
0006102766;RC TRAITEMENT;2020;2870;
0050100431;SIBERT ET FILS;2020;7848;
0005902685;INOVYN France;2020;;43634241
0006900074;SARA (Kourou);2020;;692
0006401052;ARCELORMITTAL Méditerranée;2020;;8022850
0024600019;HAULOTTE GROUPE SA;2020;202;
0006104578;SOC CAUX TRAITEMENT DE SURFACE;2020;;18251
0005105788;WEYLCHEM LAMOTTE (ex CLARIANT SFC);2020;;1815167
0006114778;CAPCA (ex SDEA 07);2020;;163208
0006108642;GAUTHIER;2020;3688;
0005401545;PORTERET BEAULIEU INDUSTRIE;2020;;44148
0006107420;ORGANOM;2020;76813;
0005302750;SOCIETE EXPLOITATION DES SOURCES ROXANE;2020;;150526
0006506568;A2C GRANULAT;2020;;322878
0006102993;ARKEMA;2020;;21705012
0054000761;LA PLUME DE POMAREZ (ex-TREMONT SAS);2020;18500;0
0010000220;SEALED AIR  SAS;2020;35490;
0007002568;LIOT;2020;55603;
0007001174;GRAIN D'OR GEL - GRAIN D'OR FRAIS;2020;6617;
0006103381;INDUSTEEL FRANCE;2020;6000;33938
0009077301;UDEP - Chambéry;2020;;12861101
0005302201;FAURECIA SYSTEMES D'ECHAPPEMENT;2020;1932;1932
0005101901;GOODYEAR DUNLOP TIRES Amiens SUD;2020;7044;350100
0005108060;ARCHROMA FRANCE SAS ex-CLARIANT;2020;56060;0
0005101361;AKZO NOBEL DECORATIVE (ex AKZO NOBEL CO);2020;7324;
0009077101;UDEP du SITEAM (MACON);2020;4689071;
0010001788;FAURECIA AUTOMOTIVE COMPOSITES;2020;26684;
0005204961;ARKEMA - Site de Mourenx;2020;2728;37268
0010100025;MSA PRODUCTION FRANCE SASU;2020;864;
0007000438;DILLINGER (ex GTS INDUSTRIES);2020;;44460
0005902723;GEMDOUBS (ex PAPETERIE DU DOUBS ex OTOR);2020;;349093
0006103399;BARRIQUAND SA (STERIFLOW);2020;5416;
0056900370;SECANIM SUD EST;2020;1220;
0006305491;PORNIC AGGLO PAYS DE RETZ;2020;;6424
0010000310;PUIG FRANCE;2020;0;0
0005601500;JACQUET PANIFICATION;2020;29670;
0006600301;FORMICA (Plaine);2020;;1103
0006303668;EMIN LEYDIER;2020;8007;
0005201382;Distillerie  DOUENCE-Vignonet-;2020;381;
0006400928;APPRYL;2020;0;134041
0058503010;VOLAILLES FRESLON Elie;2020;;23387
0005701467;CHARBONNEAUX BRABANT SA;2020;20418;
0006204549;GIE DU COSTET BEILLARD;2020;;63821
0005800387;CIE FRANCAISE ECO HUILE;2020;;109422
0006104744;EUROCAST THONON;2020;27497;
0007201450;PLACOPLATRE (PLACO SAINT-GOBAIN);2020;0;0
0007000705;SCORI;2020;;11118
0006102002;SIVALOR;2020;;23820792
0005300806;ARKEMA;2020;5046;347467
