identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0052903741;SCEA GUEGUEN BELLEC;2019;7545;;;
0052901390;GAEC DU VOULIC;2019;8600;;;
0005202330;DEUERER PETCARE FRANCE;2019;;240058;8267;
0006401338;GROUPE BIGARD;2019;;;52655;
0005503297;SOCIETE SARZEAU CARRIERES ET MATERIAUX;2019;;119500;;
0006103381;INDUSTEEL FRANCE;2019;;161128;26025;
0007000483;ARKEMA FRANCE;2019;;2491202;17988;
0010400105;EVONIK AEROSIL FRANCE;2019;40631;;;
0005600245;FAREVA LA VALLEE;2019;;;88648;
0006406832;Initial;2019;18224;;581;
0055602988;SCEA DE LICHOUET;2019;22000;;;
0005101363;ARCELORMITTAL ATLANTIQUE -  LORRAINE;2019;;256218;15550;
0006301049;ARC EN CIEL;2019;;;190747;
0005100395;CEREAL PARTNERS Frances;2019;231383;;;
0005515174;CELTIGEL;2019;90628;;5571;
0055500458;SCEA de la Warinaux;2019;11680;;;
0006302278;L'ABEILLE;2019;;;279310;
0055603428;EARL LE CORRE;2019;8000;;;
0006802901;COCA-COLA EUROPACIFIC PARTNERS FRANCE;2019;;;184570;
0010001569;SERVIER Laboratoires Industrie;2019;;;90394;
0005600027;COSMETIQUE ACTIVE PRODUCTION;2019;;;57609;
0005401301;DAVEY BICKFORD;2019;41651;;4949;
0007000938;TEREOS FRANCE;2019;;511803;9658;
0007000553;VERHAEGHE INDUSTRIES;2019;34217;;;
0006300958;GKN DRIVELINE SA;2019;36834;;5544;
0051401146;SAS FRIAL;2019;;;130738;
0010002969;GSM;2019;34843;1064;;
0052800102;VALNAIS SARL;2019;7500;;600;
0052903990;EARL ROMEKER;2019;;7993;;
0006104106;MAUSER FRANCE;2019;9976;;;
0006505483;M.A.J. Elis;2019;;;80869;
0005900564;ARDEA;2019;17004;;24444;
0006102033;UGITECH;2019;55890;;2448;
0006503224;INITIAL BTB (ex GALLIA);2019;81078;;2933;
0005702543;CAPDEA - Marigny le Chatel;2019;;11964;;
0005701195;WALOR;2019;;24000;2600;
0006700403;ROSSMANN Sainte-Croix-aux-Mines;2019;;105864;14524;
0006400572;COCA COLA ENTREPRISE;2019;;;352568;
0005305154;FARMACLAIR;2019;;;78053;
0005401545;PORTERET BEAULIEU INDUSTRIE;2019;;59512;;
0007000627;LIONOR S.A.;2019;;;76650;
0006503449;PEUGEOT CITROEN POISSY SNC;2019;;655079;;
0006700093;EQIOM;2019;373975;;;
0006506489;RENAULT;2019;;8892;2040;
0052903791;SARL COADOUR;2019;25050;;;
0053600332;BUISSON DE RIVARENNES (SCEA DU);2019;12000;;1000;
0007202732;CDMR;2019;17930;;;
0005101029;TEREOS FRANCE;2019;239891;;8044;
0005600333;MANUF FRANC PNEUMATIQ MICHELIN;2019;25520;;155600;
0010000689;INDENA;2019;;;101794;
0005800520;NOVACEL;2019;28659;;4418;
0006701189;PIERRETTE TBA - ELIS;2019;97907;;750;
0005701177;LUZEAL;2019;80634;;;
0006400737;MAJ ELIS PROVENCE;2019;71319;;4859;
0005300092;RENAULT TRUCKS;2019;;;100867;
0005104368;MONDELEZ FRANCE BISCUITS PRODUCTION;2019;78098;;2902;
0010001418;DELPHARM (ex FAMAR);2019;;;108038;
0005701096;LA FONTE ARDENNAISE FA4;2019;;60200;1478;
0006301584;FIBERTEX NONWOVENS;2019;46810;;4869;
0005101361;AKZO NOBEL DECORATIVE (ex AKZO NOBEL CO);2019;;;88334;
0052905053;SOCIETE PERON;2019;20484;;;
0006700781;SOPREMA;2019;;1551039;7772;
0018300685;AMETYST;2019;;;60185;
0006600794;HARIBO-RICQLES-ZAN;2019;21355;;21202;
0052902101;EARL QUERE;2019;9700;;;
0005103728;SOCOPIC-Sté Cogénér.Picardie (ex.Dalkia);2019;;;776878;
0006604226;PIERRE FABRE DERMO COSMETIQUE;2019;200692;35263;11417;
0005901743;LES CARRIERES JURASSIENNES (VINCENT);2019;757860;;;
0006106947;SUEZ RR IWS CHEMICALS FRANCE;2019;;;700255;
0052901878;EARL SEAC'H;2019;11550;;;
0006103723;GEPEIF STATION EPUR. DES INDUS;2019;145013;;1275170;
0006301413;GALLIANCE ANCENIS;2019;;;212446;
0006505946;MAJ - EX GRENELLE SERVICE - BTS-;2019;75656;;732;
0006301644;PIGEON GRANULATS LOIRE ANJOU;2019;60375;;;
0053503230;SOCIETE VITREENNE D'ABATTAGE;2019;239799;;184666;
0006102939;AMCOR FLEXIBLES PACKAGING FRANCE;2019;15686;;;
0005800607;BOREALIS CHIMIE;2019;211;5054065;51742;
0005201479;SOLEAL SAS;2019;53281;;305557;
0006402706;EURENCO Sorgues;2019;5406138;;47261;
0006104781;ELIS ALPES;2019;50401;;;
0052903521;VOLEFI;2019;24145;;29139;
0050100090;GAEC LES PRELIONS;2019;22617;;1955;
0058700447;SAS MADRANGE;2019;54775;;147284;
0006200307;NOVACARB;2019;1500;21682510;10742;
0009000322;GSBdD BMA / pôle de Mérignac;2019;465380;;;
0057903131;SAS LOEUL ET PIRIOT;2019;;;70050;
0006301011;FROMAGERE DE BOUVRON (société);2019;;;455648;
0006000359;SAICA EL ex EMIN LEYDIER;2019;;22596;3905;
0055600175;CELVIA;2019;193120;;54844;
0006102119;CEMEX GRANULATS RHONE MEDITERANNEE;2019;21003;;;
0005701684;ECOLAB PRODUCTION FRANCE;2019;105613;;37502;
0005102885;CEMEX Granulats;2019;263190;;;
0006802139;SAS CEMEX GRANULATS SUD OUEST;2019;81277;;;
0055602332;LES ATELIERS DU GOUT;2019;;;91623;
0006601595;LG - Espira;2019;;74550;;
0006303870;ORBELLO GRANULATS MAINE;2019;25497;;;
0003701359;SUEZ RRIWS CENTRE ECO TRAITEMENT;2019;;40000;;
0005702707;LEBRONZE ALLOYS;2019;21668;;5897;
0005401415;ISOVER ST GOBAIN;2019;0;0;50152;
0009069913;EDF - CNPE du Bugey;2019;1472;2907660030;;
0007000551;TANK SERVICE;2019;34186;;5717;
0005702129;CRISTAL UNION;2019;;821113;3110;
0005105788;WEYLCHEM LAMOTTE (ex CLARIANT SFC);2019;;3587434;28596;
0005501697;ARDO GOURIN;2019;424321;;38845;
0006102267;SIEGFRIED St Vulbas SAS;2019;791304;;65823;
0006102858;CONDAT SA;2019;90953;;;
0010000577;INTERNATIONAL COOKWARE;2019;82119;;35351;
0005902583;FACEL;2019;;704348;11537;
0005401124;ECKES GRANINI FRANCE SNC;2019;385154;;523;
0005800350;ERAMET;2019;;;687809;
0006400367;VIRBAC 13;2019;2765;;71067;
0005300868;G.E.PART. 14;2019;35496;;;
0007100049;ALBIOMA ALG Centrale thermique;2019;1217834;;1422012;
0006412485;CHANTIERS MODERNES SUD;2019;15000;;;
0006401567;LAFARGEHOLCIM CIMENTS;2019;;166000;2179;
0006502556;SIBELCO France;2019;22357;;532;
0006100598;CEMEX GRANULATS RHONE MEDITERRANEE;2019;8401;;;
0006301617;ALIFEL MOULINS DE LOUE;2019;19379;;;
0007000851;LAMINES MARCHANDS EUROPEENS (LME);2019;;630452;24446;
0006700586;LESAFFRE CULINARY STRG (anct SENSIENT);2019;421500;;1552;
0006802454;ALUDIUM FRANCE SAS;2019;;17493;;
0006401019;ASCOMETAL Fos-sur-Mer;2019;;;571189;15227737
0005600463;EUROAPI;2019;;1734700;60787;
0006100860;RMG;2019;16073;;;
0006408139;PRADIER CARRIERES;2019;52706;;;
0006201021;COMPAGNIE DES FROMAGES ET RICHESMONTS;2019;;;294732;
0006802157;RATIER FIGEAC  Sas;2019;23725;;;
0005800496;EXXONMOBIL CHEMICAL FRANCE;2019;988475;;52624;
0005102490;SITPA  Rosieres;2019;;;595500;
0007000794;VERSALIS FRANCE SAS Dunes;2019;;3965261;39458;
0007100081;Distillerie Savanna;2019;;89132;;
0006104306;GRID SOLUTIONS;2019;7692;;4467;
0010000030;TRIBALLAT Hubert Laiteries;2019;541800;;28600;
0006208683;SA BOULANGERIE NEUHAUSER Fürst 2;2019;;;69536;
0005207266;TEREGA - Centre de stockage;2019;2037;13194;3164;
0057201569;ESPRI Restauration;2019;;;93648;
0006700123;GRAVIERES ET CONCASSAGES D'OFFENDORF;2019;;1210559;;
0006207528;SCHREIBER FRANCE;2019;441130;10;118603;
0005302025;MLC;2019;97807;;;
0007201529;LAFARGE CIMENTS;2019;37313;;;
0052903736;EARL DE LESCUZ;2019;10600;;;
0022200048;SNEMBG;2019;;;83621;
0006705975;CHARCUTERIE PIERRE SCHMIDT;2019;;;54797;
0006401854;EXTRUFLEX SAS;2019;261391;;;
0052903711;EARL DE KERVANIJO;2019;10042;;;
0007201381;MARTELL & CO;2019;10193;;;
0005202758;AIR LIQUIDE FRANCE INDUSTRIES;2019;;118900;15087;
0006501929;SILEC CABLE;2019;;680047;13382;
0006300314;TRAVAUX PUBLICS DES PAYS DE LOIRE (TPPL);2019;;18852;;
0006401079;ELENGY (TONKIN);2019;;72429200;39145;
0006502131;A2C Granulat;2019;378297;;;
0005600268;PEM;2019;;84482;;
0005201973;ENNOLYS (ex SAF-ISIS);2019;;72975;4759;
0005401104;EUROSERUM;2019;567695;276110;;
0010001674;SANOFI WINTHROP INDUSTRIE;2019;;;69509;
0055301842;SCEA TREMBLAIE (LA);2019;;9500;;
0010001118;ORANGINA SUNTORY FRANCE PROD;2019;701236;;2507;
0051800202;SCEA DU CORMIER;2019;8000;;;
0005306883;SOCIETE DES MAITRES LAITIERS DU COTENTIN;2019;;;60870;
0010300110;REFRESCO FRANCE (site DELIFRUITS);2019;640702;;5969;
0007000445;DSM Food Specialties;2019;840943;;23626;
0018200054;SARL  PATEBEX;2019;;40000;;
0006402195;BLANCHISSERIE DURANCE VERDON;2019;19855;;;
0052902592;SCEA BOD FAO;2019;;8200;;
0006205178;INITIAL EUROGANT (ex INITIAL BTB);2019;;9790;;
0010400032;SUEZ RR IWS CHEMICALS FRANCE;2019;534080;;189810;
0006700428;CENPA SAS;2019;0;673067;52467;0
0051800173;AIRPORC;2019;21382;;;
0050100832;BRESSOR SA;2019;318618;;140827;
0052204245;EARL LE PAGE;2019;9610;;;
0052902371;GAEC DE KERASCOT;2019;8000;;;
0005702865;OLFA;2019;;74320;1542;
0006400589;AIRBUS HELICOPTERS;2019;;196106;;
0010300101;GELPAM;2019;146440;;;
0006700208;MICHEL Baldersheim;2019;807427;;;
0005102374;BONDUELLE EUROPE LONG LIFE;2019;;3464716;;
0006206174;SAS GRANULATS VICAT;2019;0;227590;0;
0007000437;HAAGEN DAZS;2019;;;201520;
0006200736;ARCELORMITTAL WIRE FRANCE;2019;;176300;23839;
0005302882;SIRAC;2019;76473;;4489;
0053502545;ETABLISSEMENTS ABERA;2019;197221;;;
0052901377;SARL AVEL VOR;2019;24300;;;
